N,seed,completion_rate,completion_time_s,completed_pois,connectivity_availability,communication_downtime_s,PDR,mean_latency_ms,max_latency_ms,detection_reporting_compliance,reports_delivered,reports_deadline_exceeded,relay_reallocations,recovery_time_s,network_reconfiguration_efficiency,uav_failures,task_recovery_after_failure,performance_after_failure,collision_separation_violations,min_observed_separation,geofence_violations,altitude_violations,battery_exhaustion,max_continuous_sortie_duration,final_landing_status,max_poi_distance_m,max_required_hops,mission_success,comm_success,safety_success,endurance_success,landing_success,full_success
13,8001,0.7,2700.0,7,0.8056,1138.0,0.7188,7.21,36.91,0.0,0,7,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
14,42,1.0,339.0,10,0.8596,1107.0,0.7161,7.17,46.6,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
14,2026,1.0,393.0,10,0.8147,1073.0,0.7041,7.36,28.35,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
14,1001,1.0,412.0,10,0.8181,1106.0,0.7087,7.28,44.2,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
14,2027,0.9,2700.0,9,0.7981,1120.0,0.7114,7.31,37.18,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
14,3001,1.0,381.0,10,0.8124,1133.0,0.7225,7.14,41.45,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
14,4001,1.0,425.0,10,0.8226,1113.0,0.7168,7.19,26.65,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
14,5001,0.9,2700.0,9,0.7442,1032.0,0.6687,8.68,27.0,0.0,0,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
14,6001,1.0,316.0,10,0.759,1091.0,0.7274,7.1,37.73,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1014.89,11,True,False,True,False,False,False
14,7001,1.0,374.0,10,0.8454,1134.0,0.6961,7.96,28.56,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
14,8001,0.7,2700.0,7,0.8202,1134.0,0.7173,7.22,43.7,0.0,0,7,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
15,42,1.0,339.0,10,0.8691,1106.0,0.6952,7.38,47.61,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
15,2026,1.0,393.0,10,0.8271,1073.0,0.6836,7.56,28.01,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
15,1001,1.0,412.0,10,0.8306,1106.0,0.6949,7.4,34.64,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
15,2027,0.9,2700.0,9,0.8118,1119.0,0.6911,7.5,43.25,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
15,3001,1.0,381.0,10,0.8249,1133.0,0.7051,7.28,41.45,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
15,4001,0.8,2700.0,8,0.8629,1112.0,0.6902,7.45,37.28,0.0,0,8,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1027.49,11,False,False,True,False,False,False
15,5001,0.9,2700.0,9,0.7619,1031.0,0.6564,8.71,36.04,0.0,0,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
15,6001,1.0,316.0,10,0.7754,1090.0,0.7145,7.21,35.17,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1014.89,11,True,False,True,False,False,False
15,7001,1.0,367.0,10,0.8561,1131.0,0.6817,8.05,53.28,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
15,8001,0.7,2700.0,7,0.8322,1134.0,0.6998,7.37,43.7,0.0,0,7,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
16,42,1.0,339.0,10,0.8773,1106.0,0.6923,7.42,47.61,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
16,2026,1.0,393.0,10,0.8393,1065.0,0.6802,7.6,33.83,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
16,1001,1.0,411.0,10,0.8412,1105.0,0.6936,7.43,45.14,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
16,2027,0.9,2700.0,9,0.8236,1119.0,0.6853,7.53,29.01,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
16,3001,1.0,381.0,10,0.8361,1132.0,0.6983,7.36,42.24,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
16,4001,1.0,425.0,10,0.845,1112.0,0.6881,7.46,34.27,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
16,5001,0.9,2700.0,9,0.7768,1031.0,0.6469,8.75,36.04,0.0,0,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
16,6001,1.0,316.0,10,0.7903,1087.0,0.6866,7.52,32.33,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1014.89,11,True,False,True,False,False,False
16,7001,1.0,367.0,10,0.8647,1132.0,0.6667,8.19,29.31,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
16,8001,1.0,372.0,10,0.8834,1134.0,0.6915,7.4,44.1,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1038.01,11,True,False,True,False,False,False
